StoreID,Region,Store,Latitude,Longitude,Sales
1,West ,Jurong Point,1.34032,103.706006,2432999.362
2,West ,Bukit Panjang Plaza,1.37974,103.7644,1736684.075
3,North ,Compass Point,1.39187,103.89482,1605813.539
4,Central,HDB Hub,1.33239,103.848133,1392242.509
5,South ,Great World City,1.29266,103.83249,1203205.17
6,South ,Holland Village,1.31101,103.79627,2312533.092
7,East,Airport Terminal 1,1.35732,103.987309,1443580.567
8,East,Parkway Parade,1.30124,103.90523,1064501.834
9,South ,Marina Square,1.29136,103.85786,1057785.655
